// trade log:
trade 151: size: -20, entry: 5236.22998046875 at tick 1443, exit: 5235.25 at tick 1451, pnl: 19.599609375
trade 152: size: -20, entry: 5234.990234375 at tick 1469, exit: 5234.740234375 at tick 1471, pnl: 5
trade 153: size: -20, entry: 5235.22998046875 at tick 1477, exit: 5234.990234375 at tick 1478, pnl: 4.794921875
trade 154: size: -20, entry: 5235.47998046875 at tick 1483, exit: 5235.47998046875 at tick 1487, pnl: -0
trade 155: size: -20, entry: 5233.490234375 at tick 1549, exit: 5232.990234375 at tick 1553, pnl: 10
trade 156: size: -20, entry: 5233.740234375 at tick 1561, exit: 5234.25 at tick 1565, pnl: -10.1953125
trade 157: size: -20, entry: 5234.47998046875 at tick 1567, exit: 5234.47998046875 at tick 1569, pnl: -0
trade 158: size: -20, entry: 5234.990234375 at tick 1572, exit: 5234.490234375 at tick 1573, pnl: 10
trade 159: size: -20, entry: 5235 at tick 1580, exit: 5235.490234375 at tick 1581, pnl: -9.8046875
trade 160: size: -20, entry: 5235.97998046875 at tick 1583, exit: 5235.47998046875 at tick 1586, pnl: 10
trade 161: size: -20, entry: 5236.22998046875 at tick 1589, exit: 5236.25 at tick 1591, pnl: -0.400390625
trade 162: size: -20, entry: 5237 at tick 1605, exit: 5236.990234375 at tick 1608, pnl: 0.1953125
trade 163: size: -20, entry: 5238.47998046875 at tick 1611, exit: 5237.490234375 at tick 1612, pnl: 19.794921875
trade 164: size: -20, entry: 5236.490234375 at tick 1623, exit: 5236.740234375 at tick 1624, pnl: -5
trade 165: size: -20, entry: 5237.740234375 at tick 1626, exit: 5237.97998046875 at tick 1627, pnl: -4.794921875
trade 166: size: -20, entry: 5238.740234375 at tick 1629, exit: 5239.22998046875 at tick 1631, pnl: -9.794921875
trade 167: size: -20, entry: 5235.25 at tick 1660, exit: 5234.75 at tick 1665, pnl: 10
trade 168: size: -20, entry: 5235.22998046875 at tick 1678, exit: 5234.240234375 at tick 1679, pnl: 19.794921875
trade 169: size: -20, entry: 5236.240234375 at tick 1682, exit: 5236.22998046875 at tick 1683, pnl: 0.205078125
trade 170: size: -20, entry: 5240.22998046875 at tick 1685, exit: 5238.240234375 at tick 1687, pnl: 39.794921875
trade 171: size: -20, entry: 5239.72998046875 at tick 1698, exit: 5240.25 at tick 1699, pnl: -10.400390625
trade 172: size: -20, entry: 5241.47998046875 at tick 1701, exit: 5240 at tick 1703, pnl: 29.599609375
trade 173: size: -20, entry: 5241.47998046875 at tick 1707, exit: 5240.75 at tick 1707, pnl: 14.599609375
trade 174: size: -20, entry: 5235.740234375 at tick 1740, exit: 5235.97998046875 at tick 1743, pnl: -4.794921875
trade 175: size: -20, entry: 5237.490234375 at tick 1749, exit: 5237.72998046875 at tick 1751, pnl: -4.794921875
trade 176: size: -20, entry: 5237.990234375 at tick 1765, exit: 5238.5 at tick 1766, pnl: -10.1953125
trade 177: size: -20, entry: 5237.5 at tick 1781, exit: 5238.22998046875 at tick 1782, pnl: -14.599609375
trade 178: size: -20, entry: 5238.25 at tick 1786, exit: 5237.5 at tick 1787, pnl: 15
trade 179: size: -20, entry: 5231.240234375 at tick 1818, exit: 5231.490234375 at tick 1820, pnl: -5
trade 180: size: -20, entry: 5232.72998046875 at tick 1822, exit: 5231.990234375 at tick 1825, pnl: 14.794921875
trade 181: size: -20, entry: 5228.990234375 at tick 1851, exit: 5229.72998046875 at tick 1852, pnl: -14.794921875
trade 182: size: -20, entry: 5229.740234375 at tick 1859, exit: 5230.22998046875 at tick 1860, pnl: -9.794921875
trade 183: size: -20, entry: 5225.97998046875 at tick 1898, exit: 5225.75 at tick 1899, pnl: 4.599609375
trade 184: size: -20, entry: 5226.72998046875 at tick 1901, exit: 5225.740234375 at tick 1901, pnl: 19.794921875
trade 185: size: -20, entry: 5222 at tick 1924, exit: 5221 at tick 1925, pnl: 20
trade 186: size: -20, entry: 5221.740234375 at tick 1930, exit: 5221.47998046875 at tick 1931, pnl: 5.205078125
trade 187: size: -20, entry: 5219 at tick 1948, exit: 5219.990234375 at tick 1949, pnl: -19.8046875
trade 188: size: -20, entry: 5220.72998046875 at tick 1951, exit: 5220 at tick 1953, pnl: 14.599609375
trade 189: size: -20, entry: 5199.25 at tick 2011, exit: 5201.22998046875 at tick 2012, pnl: -39.599609375
trade 190: size: -20, entry: 5190.68994140625 at tick 2040, exit: 5191.72021484375 at tick 2041, pnl: -20.60546875
trade 191: size: -20, entry: 5195.27978515625 at tick 2044, exit: 5196.2900390625 at tick 2045, pnl: -20.205078125
trade 192: size: -20, entry: 5186.39013671875 at tick 2062, exit: 5189.16015625 at tick 2063, pnl: -55.400390625
trade 193: size: -20, entry: 5192.9599609375 at tick 2065, exit: 5191.22998046875 at tick 2066, pnl: 34.599609375
trade 194: size: -20, entry: 5191.759765625 at tick 2078, exit: 5191.5498046875 at tick 2079, pnl: 4.19921875
trade 195: size: -20, entry: 5194.18017578125 at tick 2085, exit: 5192.43017578125 at tick 2085, pnl: 35
trade 196: size: -20, entry: 5189.169921875 at tick 2107, exit: 5190.43017578125 at tick 2108, pnl: -25.205078125
trade 197: size: -20, entry: 5191.4599609375 at tick 2110, exit: 5191 at tick 2111, pnl: 9.19921875
trade 198: size: -20, entry: 5194.0400390625 at tick 2113, exit: 5193.60009765625 at tick 2115, pnl: 8.798828125
trade 199: size: -20, entry: 5195.1201171875 at tick 2117, exit: 5195.1298828125 at tick 2119, pnl: -0.1953125
trade 200: size: -20, entry: 5196.8798828125 at tick 2121, exit: 5196.1201171875 at tick 2123, pnl: 15.1953125
trade 201: size: -20, entry: 5195.64990234375 at tick 2135, exit: 5195.669921875 at tick 2136, pnl: -0.400390625
trade 202: size: -20, entry: 5196.93994140625 at tick 2138, exit: 5195.68994140625 at tick 2138, pnl: 25
trade 203: size: -20, entry: 5192.7099609375 at tick 2158, exit: 5191.43994140625 at tick 2158, pnl: 25.400390625
trade 204: size: -20, entry: 5191.14013671875 at tick 2184, exit: 5192.1298828125 at tick 2185, pnl: -19.794921875
trade 205: size: -20, entry: 5191.8798828125 at tick 2187, exit: 5192.8798828125 at tick 2188, pnl: -20
trade 206: size: -20, entry: 5193.56982421875 at tick 2196, exit: 5194.080078125 at tick 2197, pnl: -10.205078125
trade 207: size: -20, entry: 5195.06982421875 at tick 2199, exit: 5194.5400390625 at tick 2204, pnl: 10.595703125
trade 208: size: -20, entry: 5195.5400390625 at tick 2210, exit: 5198.02978515625 at tick 2211, pnl: -49.794921875
